magnitude,ra_degrees,dec_degrees,parallax_mas,ra_mas_per_year,dec_mas_per_year,ra_hours,epoch_year,name,alt,az,distance,x,y
3.18,76.62862102,41.23464074,14.87,30.6,-68.41,5.108574734666666,1991.25,HIP23767,49.80627018847534,76.52271785145822,1.38712e+07 au,0.4291919431152839,0.4318456055401345
2.78,76.96264146,-5.08626282,36.71,-83.39,-75.44,5.130842764,1991.25,HIP23875,18.00822030018956,118.76135896658673,5.61876e+06 au,1.1629604322124016,0.6640215869163986
3.29,78.2328046,-16.20542901,17.69,45.66,-16.13,5.215520306666666,1991.25,HIP24305,8.332751943694506,124.54139214142972,1.166e+07 au,1.4727958425524779,0.6697382895982122
0.18,78.63446353,-8.20163919,4.22,1.87,-0.56,5.242297568666667,1991.25,Rigel,14.522699479689143,119.34520016698175,4.88779e+07 au,1.2467840017742344,0.6355084859821917
0.08,79.17206517,45.99902927,77.29,75.52,-427.13,5.278137677999999,1991.25,Capella,50.17306533058241,68.59981010007611,2.66871e+06 au,0.38730297726424323,0.3896180189395933
3.59,79.40166225,-6.84438616,5.88,-15.31,-9.57,5.29344415,1991.25,HIP24674,15.137261054365776,117.86665138488708,3.5079e+07 au,1.2151931325657679,0.6119191192150948
3.35,81.11923774,-2.39713844,3.62,-0.54,-3.21,5.407949182666667,1991.25,HIP25281,17.56119133128126,113.58997156409333,5.69792e+07 au,1.1164157505731858,0.558534145076365
1.64,81.28278416,6.34973451,13.42,-8.75,-13.28,5.418852277333333,1991.25,Bellatrix,24.148587641106417,107.423181581864,1.537e+07 au,0.9397553956433224,0.5275823471066887
1.65,81.57290804,28.60787346,24.89,23.28,-174.22,5.438193869333333,1991.25,Elnath,39.47968564723447,88.28094334941386,8.28706e+06 au,0.5972518756618539,0.44053546380710873
2.81,82.06135971,-20.75923214,20.49,-5.03,-85.92,5.470757314,1991.25,HIP25606,2.5117160956231572,124.35299260032075,1.00666e+07 au,1.623566673850708,0.5512132405812555
3.86,82.8030645,-35.47043592,11.77,28.36,-34.11,5.5202043000000005,1991.25,HIP25859,-9.538999016787036,132.84863270296557,1.75246e+07 au,2.243282743034456,0.4186452287980228
2.25,83.00166562,-0.2990934,3.56,1.67,0.56,5.533444374666667,1991.25,Mintaka,17.981856645757002,110.66322387297775,5.79396e+07 au,1.0759150342534096,0.512657336912567
2.58,83.18255798,-17.82229227,2.54,3.27,1.54,5.545503865333333,1991.25,HIP25985,4.193326745963999,121.71707917516366,8.12066e+07 au,1.5254102013231947,0.5213755456763007
3.76,83.40631813,-62.48985585,3.14,1.06,12.56,5.560421208666667,1991.25,HIP26069,-30.1696536049582,151.55585734033036,6.56894e+07 au,4.1767449265005565,-1.3503091969350303
3.39,83.78449043,9.93416294,3.09,-1.03,-1.86,5.5856326953333335,1991.25,HIP26207,25.151875741839653,102.75779316405685,6.67524e+07 au,0.8831476007829389,0.472349949551203
2.75,83.85825475,-5.90989984,2.46,2.27,-0.62,5.590550316666667,1991.25,HIP26241,13.112165116176813,113.69128711619753,8.38475e+07 au,1.2020792341330642,0.5031714051410404
1.69,84.05338572,-1.20191725,2.43,1.49,-1.06,5.603559047999999,1991.25,Alnilam,16.614023241332774,110.42810400686861,8.48826e+07 au,1.0970505330209794,0.49218121545130644
2.97,84.41118447,21.14259299,7.82,2.39,-18.04,5.627412297999999,1991.25,HIP26451,32.65881335490206,93.20817998722256,2.63766e+07 au,0.7081899377414081,0.43096175169938633
3.77,84.68652211,-2.60006791,2.84,4.61,-0.4,5.645768140666666,1991.25,HIP26549,15.136278215023966,110.85920247609202,7.26285e+07 au,1.128091636126015,0.4805780637723489
2.65,84.91224975,-34.07404941,12.16,-0.1,-24.05,5.66081665,1991.25,HIP26634,-9.530032213190125,130.59241028436145,1.69626e+07 au,2.1481560984077612,0.352468304257519
1.74,85.18968672,-1.94257841,3.99,3.99,2.54,5.679312448,1991.25,Alnitak,15.31541368585376,110.0216390208029,5.16954e+07 au,1.1144519364422232,0.4689366934042021
3.59,86.11656241,-22.44748663,111.49,-292.42,-368.45,5.741104160666667,1991.25,HIP27072,-1.1438622609827263,122.43150147359225,1.85007e+06 au,1.6679553562935818,0.4161001701744035
3.55,86.73895728,-14.82194717,46.47,-14.84,-1.18,5.782597151999999,1991.25,HIP27288,4.412472767582597,117.16539803119957,4.43867e+06 au,1.4298173765091033,0.4259566854565975
3.85,86.82118054,-51.06671329,51.87,4.65,81.96,5.788078702666667,1991.25,HIP27321,-23.2819807151416,141.13044221698155,3.97657e+06 au,3.1199213926449536,-0.2956785496086631
2.07,86.93911641,-9.66960186,4.52,1.55,-1.2,5.795941094,1991.25,Saiph,8.269425268304408,113.72122022013184,4.56338e+07 au,1.2933095206313527,0.429448810793686
3.12,87.7398034,-35.76929225,37.94,55.74,404.68,5.849320226666666,1991.25,HIP27628,-12.313595817479344,129.88002880179863,5.43661e+06 au,2.190712161162584,0.21381622462715502
3.76,87.82980343,-20.87751376,29.05,228.96,-647.96,5.855320228666667,1991.25,HIP27654,-0.9372658140065145,120.20287826873401,7.10034e+06 au,1.6076156347306867,0.3716848581256399
3.97,87.87246934,39.14847936,15.17,8.48,0.39,5.858164622666666,1991.25,HIP27673,41.32135792451608,73.00608375635079,1.35969e+07 au,0.48521505083640093,0.34320729690073104
0.45,88.79287161,7.40703634,7.63,27.33,10.86,5.919524774,1991.25,Betelgeuse,19.931346215671933,100.68833320864239,2.70334e+07 au,0.9359868568929314,0.39012990818871945
3.71,89.10132627,-14.16803805,66.47,-42.23,139.02,5.940088418,1991.25,HIP28103,3.45987675357603,114.98016828011387,3.10313e+06 au,1.4052644889989396,0.3649863832153507
3.96,89.78662719,-42.81510761,6.14,18.53,-11.45,5.985775146,1991.25,HIP28328,-18.634862616863117,133.51305325334928,3.35936e+07 au,2.5110156914818647,-0.044944734553739554
3.72,89.88145972,54.28498197,23.22,86.31,-134.05,5.992097314666666,1991.25,HIP28358,46.77827723566282,53.194736669471574,8.88307e+06 au,0.3258102052317872,0.2906788705181744
1.9,89.88237261,44.94743492,39.72,-56.41,-0.88,5.992158174,1991.25,Menkalinan,42.95584467483363,65.23422043181323,5.19297e+06 au,0.4237478804725947,0.31261313531517454
2.65,89.93015897,37.21276409,18.83,42.09,-73.61,5.995343931333333,1991.25,HIP28380,38.90806411594528,73.97015148322811,1.09541e+07 au,0.5114906344196939,0.328782932286772
3.99,93.71390194,-6.27472737,5.06,-6.18,-20.06,6.247593462666667,1991.25,HIP29651,6.476712284899822,106.3580202866775,4.07638e+07 au,1.2000169587560015,0.2803622540554733
3.31,93.71956952,22.50682376,9.34,-62.53,-10.24,6.247971301333333,1991.25,HIP29655,27.192925410502706,85.32136557841243,2.2084e+07 au,0.7035315322524126,0.30620903764559493
3.02,95.07827982,-30.06337656,9.7,8.0,3.81,6.338551988000001,1991.25,HIP30122,-12.150456996273753,121.2970113407384,2.12644e+07 au,1.852828903376345,0.057125121654414183
3.85,95.52852147,-33.43627251,13.75,-24.19,-52.48,6.368568098,1991.25,HIP30277,-14.876330300275251,123.37899632982793,1.50011e+07 au,1.970348930166667,-0.014958377703788309
1.98,95.6749475,-17.95591658,6.53,-3.45,-0.47,6.378329833333334,1991.25,Murzim,-3.5378734531488982,112.67977696268655,3.15873e+07 au,1.4727006190375362,0.17401410850108315
